Greedy;GreedyRedux;FPTAS0;FPTAS005;FPTAS01;FPTAS02;;;n
0,129397034;0,124304854;0;1,04E-04;3,71E-04;0,00107782;;;4
0,090230162;0,090230162;0;5,29E-05;2,65E-04;9,97E-04;;;10
0,061397724;0,061397724;0;4,99E-05;1,96E-04;5,66E-04;;;15
0,049913985;0,049913985;0;4,11E-05;1,43E-04;3,88E-04;;;20
0,042665952;0,042665952;0;4,03E-05;1,30E-04;3,55E-04;;;22
0,038216964;0,038216964;0;3,30E-05;1,18E-04;3,25E-04;;;25
0,036647394;0,036647394;0;2,56E-05;8,95E-05;2,75E-04;;;27
0,034098369;0,034098369;0;2,74E-05;8,44E-05;2,49E-04;;;30
0,030635096;0,030635096;0;2,33E-05;7,46E-05;2,16E-04;;;32
0,027881581;0,027881581;0;1,65E-05;5,90E-05;1,81E-04;;;35
0,025104004;0,025104004;0;1,78E-05;5,25E-05;1,58E-04;;;37
0,023983204;0,023983204;0;1,59E-05;5,63E-05;1,54E-04;;;40
