Greedy;GreedyRedux;FPTAS0;FPTAS005;FPTAS01;FPTAS02;;;;n
0,337979266;0;0;3,27E-05;1,37E-04;3,35E-04;;;;4
0,237758268;0,001520039;0;1,03E-04;1,75E-04;6,47E-04;;;;10
0,196914371;0,001527753;0;2,72E-05;1,48E-04;6,26E-04;;;;15
0,196412566;0,002659701;0;0;1,20E-04;4,32E-04;;;;20
0,23562015;0,00259564;0;4,59E-05;4,59E-05;1,05E-04;;;;22
0,225692803;0,00445952;0;1,49E-06;1,49E-06;3,12E-04;;;;25
0,233763452;0,001651985;0;0;0;0;;;;27
0,157876293;0,002095127;0;0;0;1,37E-04;;;;30
0,186548584;0,002511015;0;0;0;3,56E-05;;;;32
0,144784755;0;0;0;0;2,50E-04;;;;35
0,215416871;0,010785553;0;0;0;1,49E-04;;;;37
0,160217008;0,008002696;0;0;0;0;;;;40
